Fecha,Efeméride
0101,Año Nuevo
0201,Día Internacional del Policía
0301,Día Internacional del Abogado
0401,Día Mundial del Braille
0501,"Creación del primer ojo artificial, en Japón"
0601,Día de los Reyes Magos
0701,1643 Descubrimiento del coronavirus COVID-19
0801,Internacional del Mijo
1001,Día Mundial de la Gente Peculiar
1101,Día Internacional del Agradecimiento
1201,Día Internacional de Besar a un Pelirrojo
1301,Día Mundial de Lucha contra la Depresión
1401,Día Internacional de la Cometa
1501,Día Mundial de la Religión
1601,Día Internacional de The Beatles
1701,Día Mundial de Bendecir a los Animales
1801,Día de Martin Luther King
1901,Mundial de la Nieve
2001,Día Mundial del Pingüino
2101,Día Internacional del Abrazo
2201,Día Internacional del Abrazo
2301,Día del Mariachi
2401,Día del Mariachi
2501,Día del Mariachi
2601,Día del Biólogo
2701,Día Internacional de Conmemoración en memoria de las víctimas del Holocausto
2801,Día del Nutriólogo
2901,Día Mundial contra la Lepra
3001,Día Mundial de la No Violencia y la Paz
3101,Día Internacional del Mago
0102,Día Mundial del Galgo
0202,Día Mundial de los Humedales
0302,Día Internacional del Abogado
0402,Día Mundial de la lucha contra el Cáncer
0502,Día Mundial del Hombre del Tiempo
0602,Día Internacional de Tolerancia Cero con la Mutilación Genital Femenina
0702,Día Internacional de Internet Seguro
0802,Día Mundial de la Nutella
0902,Día Mundial de la Pizza
1002,Día Mundial de las Legumbres
1102,Día Internacional de las Mujeres y las Niñas en la Ciencia
1202,Día Internacional contra el Uso de Niños Soldado
1302,Día Mundial de la Radio
1402,Día del Amor y la Amistad
1502,Día Internacional del Niño con cáncer
1602,Día de los Amores Imposibles
1702,Día Mundial de la Motricidad Orofacial
1802,Día Internacional del Síndrome de Asperger
1902,Día Internacional Contra la Homofobia en el Fútbol
2002,Día Mundial de la Justicia Social
2102,Día internacional de la lengua materna
2202,Día Mundial de la Igualdad Salarial
2302,Día de la Bandera
2402,Día Internacional del Implante Coclear
2502,Día de la Cruz Roja Mexicana
2602,Día Internacional del Oso Polar
2702,Día Mundial de las Enfermedades Raras
2802,Día Mundial de las Enfermedades Raras
2902,Día de la Cruz Roja Mexicana
0103,Día Internacional de la Protección Civil
0203,Muere Josefa Ortíz de Domínguez
0303,Día Internacional del la Audición
0403,Día de la Obesidad
0403,Día Internacional de la Concienciación sobre el Virus del Papiloma Humano
0503,Día Mundial de la Eficiencia Energética
0803,Día Internacional de la Mujer
1403,Día Internacional de las Matemáticas
1503,Día del Trabajo Social
1703,Día Mundial del Submarino
1803,Aniversario de la Expropiación Petrolera
2003,Día Internacional de la Felicidad
2003,Día Mundial de la Salud Bucodental
2103,Día Mundial del Síndrome de Down
2203,Día Mundial del Agua
2803,Día Mundial de la Hamburguesa
3003,Día del Lápiz
3103,Día del Taco
0104,Día Mundial de la Concientización del Autismo
0204,Día Mundial de la Concientización del Autismo
0304,Día Mundial del Arcoíris
0704,Día Mundial de la Salud
0904,Día Mundial del Unicornio
2104,Día de la Educadora
2204,Día Internacional de la Madre Tierra
2304,Día Mundial del Libro
2504,Día Internacional del ADN
2804,Día del Superhéroe
2904,Día Internacional del Perro Guía
3004,Día del Niño
0105,Día del Trabajo
0205,Día Contra el Bullying
0305,Día Internacional de la Libertad de Prensa
0405,Día Mundial del Asma
0505,Batalla de Puebla
0605,Día Mundial del Acordeón
0705,Día Mundial de los Huérfanos del SIDA
0805,Día de la victoria para los aliados en la Segunda Guerra Mundial
0905,Día de Europa
1005,Día de las madres
1105,Día Mundial del Comercio Justo
1205,Día Internacional de la Enfermería
1305,Día Mundial de las Aves Migratorias
1405,Día mundial del comercio justo
1505,Día Internacional de las Familias
1705,Día del Internet
1805,Día Internacional de la Fascinación por las Plantas
1905,Día Mundial del Médico de Familia
2005,Día del Psicólogo
2105,Día Internacional de la leche materna
2205,Día Internacional de la Diversidad Biológica
2305,Día Mundial contra el Melanoma
2405,Día Internacional de las Mujeres por la Paz y el Desarme
2505,Dia Mundial de Africa
2605,Día Mundial de Drácula
2705,Día Internacional del Celiaco
2805,Día Mundial de la Hamburguesa
2905,Día Mundial de la Salud Digestiva
3005,Día Mundial de la Esclerosis Múltiple
3105,Día Mundial sin tabaco
0106,Día de la Marina Nacional
0206,Día Nacional del Donante de Órganos
0306,Día Mundial de la Bicicleta
0406,Día Internacional de los Niños víctimas de agresión
0506,Día Mundial del Medio Ambiente
0606,Día Mundial de los Pacientes Trasplantados
0706,Día Mundial de la Inocuidad de los Alimentos
0806,Día Mundial de los Océanos
0906,Día Internacional de los Archivos
1006,Día Internacional de la Heráldica
1106,Día Mundial de la Lucha contra el cáncer de próstata
1206,Día Mundial Contra el Trabajo Infantil
1306,Día Mundial del Cáncer de Piel
1406,Día Mundial del Donante de Sangre
1506,Día Mundial de Toma de Conciencia de Abuso y Maltrato en la Vejez
1606,Día Internacional del Niño Africano
1706,Día Mundial de Lucha contra la Desertificación
1806,Día Mundial del Orgullo Autista
1906,Día Internacional para la Eliminación de la Violencia Sexual en los Conflictos
2006,Día Mundial del Refugiado
2106,Día Internacional del Yoga
2206,Día Internacional de los Bosques Tropicales
2306,Día Internacional de las Viudas
2406,Día Internacional de las Hadas
2506,Día Mundial del Vitiligo
2606,Día Internacional contra el Tráfico Ilícito y Abuso de Drogas
2706,Día Internacional de las Personas Sordo-ciegas
2806,Día Internacional del Orgullo LGTB
2906,Día Internacional de los Trópicos
3006,Día Mundial de la Artrogriposis Múltiple
0107,Día del Ingeniero
0207,Día Mundial de los OVNIs
0307,primera vez la mujer emite el voto
0407,día del amor
0507,Día Mundial del Bikini
0607,Día Internacional del Beso Robado
0707,Día Mundial del Cacao
0807,Día Mundial de la Alegría
0907,Día Internacional de la Destrucción de Armas
1007,Día Internacional de Los Beatles
1107,Día de la Población
1207,Día del abogado
1307,Día Mundial del Rock
1407,Día Mundial del Chimpancé
1507,Día Mundial de las Habilidades de la Juventud
1607,Día Mundial del Cerebro
1707,día internacional del tatuaje
1807,Día Internacional de Nelson Mandela
1907,Día de la Secretaria
2007,Día del Bibliotecario
2107,Día Mundial del perro
2207,Día Mundial del Cerebro
2307,Día Mundial de las Ballenas y los Delfines
2507,"Día Internacional de las Mujeres Afrolatinas, Afrocaribeñas"
2607,Día de los Abuelos
2707,Día del Antropólogo
2807,día Mundial contra la Hepatitis
2907,Día Mundial del Tigre
3007,Día Internacional de la Amistad
3107,Día Mundial de los Guardas Forestales
0108,Día Mundial de la Alegría
0208,Día del Trabajador Gastronómico
0308,Día Internacional de la Planificación Familiar
0408,Día Internacional de la Cerveza
0508,Día Mundial de la Ropa Interior
0608,Mundial de la Lactancia Materna
0708,Día Mundial de los Faros
0808,Día del Gato
0908,Día Internacional de los Pueblos Indígenas
1008,Día Mundial del León
1108,Día del Nutricionista
1208,Día Mundial de la Juventud
1308,Día Internacional de los Zurdos
1408,Día de las y los Mártires Estudiantiles
1508,Día Nacional del Cine Mexicano
1608,Día Internacional del Ron
1708,Día del Veterinario
1808,Día Mundial de la Prevención de incendios forestales
1908,Día Internacional de la Asistencia Humanitaria
2008,Día Mundial de la Papa Frita
2108,Día Internacional de Conmemoración y Homenaje a las Víctimas del Terrorismo
2208,Día del Bombero
2308,Día del Internauta
2408,Día del Lector y la Lectora
2508,Día Mundial del Cuidado de la Piel
2608,Día Internacional del Actor
2708,Día Internacional del Cosplay
2808,Día del Abuelo
2908,Día Internacional del Videojuego
3008,Día Internacional del Tiburón Ballena
3108,Día de la Solidaridad
0109,Día Internacional de los Primates
0209,Día Internacional del Bacon
0309,Día Mundial de la Higiene
0409,Día Mundial de la Salud Sexual
0509,Día Mundial del Hermano
0609,día del sexo oral
0709,Día Mundial del Pelirrojo
0809,Día Internacional de la Alfabetización
0909,Día Mundial de la Agricultura
1009,Día Internacional para la prevención del Suicidio
1109,conmemoración de los atentados del 11 de septiembre de 2001 en Estados Unidos
1209,Día Internacional para la Cooperación Sur-Sur
1309,Día Internacional del Chocolate
1409,Día Mundial de la Dermatitis Atópica
1509,Grito de Independencia
1609,Aniversario de la Independencia de México
1709,Día del Psicopedagogo
1809,Día Internacional de la Igualdad Salarial
1909,Día Mundial del Aperitivo
2009,Día Mundial de la Libertad de Expresión de Pensamiento
2109,Día Internacional de La Paz
2209,Día Mundial sin Coche
2309,Día de Lengua de Señas
2509,Día de las Personas Sordas
2609,Día del Conejo
2709,Día Mundial del Turismo
2809,Día de Acción Global por el Acceso al Aborto Legal y Seguro
2909,Día Mundial del Corazón
3009,Día Internacional de la Traducción
0110,Día Internacional del Café
0210,Día Internacional de la No Violencia
0310,Día del Odontólogo
0410,Día Mundial de los Animales
0510,Día mundial de las y los docentes
0610,Día de la Parálisis Cerebral
0710,Día Mundial de la Sonrisa
0810,Día Internacional de la Dislexia
0910,Día Europeo del Arte Rupestre
1010,Día Mundial de la Salud Mental
1110,Día Internacional de la Niña
1210,Día de la Raza
1310,Día Internacional de Ponerse Traje
1410,"Día Mundial de la Donación de Órganos, Tejidos y Trasplantes"
1510,Día Mundial del Lavado de Manos
1610,Día Mundial de la Alimentación
1710,Día Mundial Contra el Dolor
1810,Día Internacional de la Guitarra
1910,Día Mundial de la Lucha contra el cáncer de mama
2010,Día Internacional del Chef
2110,Día Internacional de la Manzana
2210,Día de la Tartamudez
2310,Día de Acción para la Supervivencia Infantil
2410,Día de las Naciones Unidas
2510,Piel de Mariposa
2610,Día Nacional de la Leche
2710,Día Mundial de la Terapia Ocupacional
2810,Día Mundial del Judo
2910,Día Mundial del Ictus
3010,Día Nacional de la Educación Física
3110,Día Mundial del Ahorro
0111,Día de Todos los Santos
0211,Día Internacional para poner fin a la impunidad de los crímenes contra periodistas
0511,Día del Payaso
0611,Día del Payaso
0711,Día del Ferrocarrilero
0811,Día del Payaso
0911,Día del Payaso
1011,Día del Payaso
1111,Día del Payaso
1211,Día del Cartero
1311,Día del Payaso
1411,Día Mundial de la Diabetes
1511,Día del Payaso
1611,Día Mundial para la Tolerancia
1711,Día Mundial del niño prematuro
1811,Día del Payaso
1911,Día Internacional del Hombre
2011,Día de la Industrialización de África
2111,Día Mundial de la Televisión
2211,Día del Músico
2311,Día Internacional de la Palabra
2411,Día del Orgullo Primate
2511,Día Internacional de la Eliminación de la Violencia contra la Mujer
2611,Día Mundial del Olivo
2711,Día Nacional de la Conservación
2811,Día del Trabajador Previsional
2911,Día Mundial de la Conservación del Jaguar
3011,Día Internacional de la Seguridad Informática
0112,Día Internacional de la lucha contra el Sida
0212,Día Mundial de la Abolición de la Esclavitud
0312,Día Mundial de las Personas con Discapacidad
0412,Día Mundial de las Personas con Discapacidad
0512,Día Mundial de las Personas con Discapacidad
0612,Día Mundial de las Personas con Discapacidad
0712,Día Internacional de la Aviación Civil
0812,Día Mundial de las Personas con Discapacidad
0912,Día Mundial de las Personas con Discapacidad
1012,Día Mundial de los Derechos Humanos
1112,Día Nacional del Peregrino
1212,Día Internacional de la Cobertura Sanitaria Universal
1312,Día del Oftalmólogo
1412,Día Mundial del Mono
1512,Día Mundial del Otaku
1612,Día mundial contra la corrupción
1712,Día del Jersey Navideño Feo
1812,Día Internacional del Migrante
1912,Día Mundial de los Derechos Humanos
2012,Día Internacional de la Solidaridad Humana
2112,Día Mundial del Baloncesto
2212,Día Mundial del Termómetro
2312,Día Internacional de las Lenguas de Señas
2412,Noche Buena
2512,Día de Navidad
2612,Día de las Cajas
2712,Día Internacional de la Preparación ante las Epidemias
2812,Día de los Santos Inocentes
2912,Día Internacional de los Presos por la Paz
3012,Día Internacional del Cine Indio
3112,Día de la Nochevieja
